Public,startDate,endDate,eventName,location,url,tag
TRUE,1月7日(水),1月9日(金),Regional Scrum Gathering Tokyo 2026,東京（羽田）,https://2026.scrumgatheringtokyo.org/,
TRUE,1月9日(金),1月10日(土),BuriKaigi 2026,富山（富山）,https://burikaigi.dev/,
TRUE,1月10日(土),1月10日(土),CQRS+ESカンファレンス 2026,福岡（福岡）,https://cqrs-es-con.jp/,
TRUE,1月23日(金),1月23日(金),AlmaLinux Day: Tokyo,神奈川（川崎）,https://almalinux.org/ja/almalinux-day-tokyo-2026/,
TRUE,1月25日(日),1月25日(日),KNOTS 2026,東京（日本橋）,https://knots.crossrel.jp/,
TRUE,1月30日(金),1月30日(金),builderscon::3DP #1,東京（三田）,https://builderscon.connpass.com/event/371745/,
TRUE,1月31日(土),1月31日(土),オープンソースカンファレンス2026 Osaka,大阪（本町）,https://event.ospn.jp/osc2026-osaka/,
TRUE,1月31日(土),1月31日(土),SRE Kaigi 2026,東京（中野）,https://2026.srekaigi.net/,
TRUE,2月3日(火),2月4日(水),Women in Agile Tokyo 2026,東京（大崎）,https://www.wiajapan.org/,
TRUE,2月4日(水),2月4日(水),Tech Challenge Party,東京（丸の内）,https://tcp.saj.or.jp/,
TRUE,2月11日(水),2月13日(金),JANOG 57,大阪（梅田）,https://www.janog.gr.jp/meeting/janog57/,
TRUE,2月14日(土),2月14日(土),セキュリティ・キャンプ2026 フォーラム,東京（日本橋）,https://www.security-camp.or.jp/event/forum2026.html,
TRUE,2月18日(水),2月20日(金),Developers Summit 2026,東京（有明）,https://event.shoeisha.jp/devsumi/20260218,
TRUE,2月20日(金),2月20日(金),Scrum Fest Morioka 2026,岩手（盛岡）,https://www.scrumfestmorioka.org/,
TRUE,2月21日(土),2026/2/21,PyCon mini Shizuoka 2026,静岡（静岡市）,https://shizuoka.pycon.jp/2026/,
TRUE,2月21日(土),2月21日(土),Go Conference mini 2026,宮城（仙台）,https://sendaigo.jp/,
TRUE,2月21日(土),2月21日(土),出雲Ruby会議01,島根（出雲）,https://regional.rubykaigi.org/izumo01/,
TRUE,2月26日(木),2月26日(木),Google Cloud Community Tech Surge 2026,オンライン,https://2026.gcts.jp/,
TRUE,2月27日(金),2月28日(土),オープンソースカンファレンス2026 Tokyo/Spring,東京（駒沢）,https://event.ospn.jp/osc2026-spring/,
TRUE,2月27日(金),2月28日(土),サイバーセキュリティシンポジウム道後2026,愛媛（松山）,https://sec-dogo.jp/,
TRUE,2月27日(金),2月27日(金),RECRUIT TECH CONFERENCE 2026,オンライン,https://www.recruit.co.jp/special/techconference2026/,
TRUE,2月28日(土),3月1日(日),SECCON 14 電脳会議,東京（浅草橋）,https://www.seccon.jp/14/ep260228.html,
TRUE,2月28日(土),2月28日(土),React Tokyoフェス2026,東京（浜松町）,https://react-tokyo.vercel.app/fes2026,
TRUE,2月28日(土),2月28日(土),Fukuoka RubyistKaigi 05,福岡（福岡）,https://regional.rubykaigi.org/fukuoka05/,
TRUE,3月4日(水),3月4日(水),EMConf JP 2026,東京（有明）,https://2026.emconf.jp/,
TRUE,3月6日(金),3月6日(金),DeNA × AI Day 2026 Proof.,東京（渋谷）,https://dena.ai/ai-day-2026/,
TRUE,3月6日(金),3月7日(土),Scrum Fest Fukuoka 2026,福岡（福岡）,https://www.scrumfestfukuoka.org/,
TRUE,3月6日(金),3月6日(金),ENOG89 Meeting,新潟（燕三条）,https://enog.jp/archives/3202,
TRUE,3月7日(土),3月7日(土),未踏会議2026 MEET DAY,東京（六本木）,https://www.ipa.go.jp/jinzai/mitou/mitoukaigi/,
TRUE,3月7日(土),3月7日(土),JAWS DAYS 2026,東京（池袋）,https://jawsdays2026.jaws-ug.jp/,
TRUE,3月7日(土),3月7日(土),P3NFEST 2026 Spring,東京（渋谷）,https://issuehunt.jp/p3nfest/2026/spring,
TRUE,3月9日(月),3月13日(金),言語処理学会第32回年次大会（NLP2026）,栃木（宇都宮）,https://anlp.jp/nlp2026/,
TRUE,3月13日(金),3月15日(日),情報処理学会 第87回全国大会,大阪（茨木）,https://www.ipsj.or.jp/event/taikai/87/,
TRUE,3月14日(土),3月15日(日),スクラムフェス神奈川 2026,神奈川（小田原）,https://www.scrumfestkanagawa.org/2026springlp,
TRUE,3月17日(火),3月17日(火),ObservabilityCON on the Road,東京（京橋）,https://grafana.com/events/observabilitycon-on-the-road/2026/tokyo/,
TRUE,3月20日(金),3月22日(日),PHPerKaigi 2026,東京（中野）,https://phperkaigi.jp/2026/,
TRUE,3月20日(金),3月20日(金),JaSST’26 Tokyo,東京（有明）,https://jasst.jp/tokyo/26-about/,
TRUE,3月20日(金),3月20日(金),Kernel/VM探検隊＠つくば No3,茨城（つくば）,https://kernelvm.connpass.com/event/381371/,
TRUE,3月28日(土),3月28日(土),Scrum Fest Nagoya 2026,愛知（名古屋）,https://confengine.com/conferences/scrum-fest-nagoya-2026,
TRUE,3月29日(日),3月29日(日),Coolest Projects Japan 2026,愛知（名古屋）,https://coolestprojects2026.coderdojo.jp/,
TRUE,4月4日(土),4月4日(土),アウトプットの背中を押すカンファレンス「ワンストップ アウトプット！」,東京（新宿）,https://fortee.jp/outputconf-2026,
TRUE,4月11日(土),4月11日(土),PHPカンファレンス小田原,神奈川（小田原）,https://phpcon-odawara.jp/2026/,
TRUE,4月11日(土),2026/4/11,【劇場版】アニメから得た学びを発表会2026,東京（武蔵境）,https://engineers-anime.connpass.com/event/375981/,
TRUE,4月11日(土),4月11日(土),ふりかえりカンファレンス2026,東京（新宿）,https://retrospective.connpass.com/event/377208/,
TRUE,4月12日(日),4月14日(火),try! Swift Tokyo 2026,東京（立川）,https://tryswift.jp/,
TRUE,4月12日(日),4月12日(日),技術書典20（オフライン）,東京（池袋）,https://techbookfest.org/event/tbf20,
TRUE,4月14日(火),4月16日(木),DevOpsDays Tokyo 2026,東京（大崎）,https://www.devopsdaystokyo.org/,
TRUE,4月18日(土),4月18日(土),オープンソースカンファレンス2026 Kagawa,香川（高松）,,
TRUE,4月22日(水),4月24日(金),RubyKaigi 2026,北海道（函館）,https://rubykaigi.org/2026/,Annual
FALSE,4月28日(火),4月28日(火),Product Management Summit,東京（丸の内）,,
FALSE,5月8日(金),5月8日(金),PHPカンファレンス香川 2026（予定）,香川,,
TRUE,5月8日(金),5月9日(土),Scrum Fest Niigata 2026,新潟（新潟）,https://www.scrumfestniigata.org/,
TRUE,5月9日(土),5月9日(土),フロントエンドカンファレンス名古屋 2026,愛知（名古屋）,https://fortee.jp/fec-nagoya-2026,
TRUE,5月10日(日),5月10日(日),第十三回技術書同人誌博覧会,東京（蒲田）,https://gishohaku.connpass.com/event/372013/,
TRUE,5月14日(木),5月15日(金),クラウドネイティブ会議,愛知（名古屋）,https://kaigi.cloudnativedays.jp/,
TRUE,5月16日(土),5月16日(土),焚き火LT #2,千葉らしい,,
TRUE,5月22日(金),5月23日(土),TSKaigi 2026,東京（羽田）,https://2026.tskaigi.org/,
TRUE,5月23日(土),5月23日(土),オープンソースカンファレンス206 Nagoya,愛知（名古屋）,,
TRUE,5月26日(火),5月27日(水),Laravel Live Japan 2026,東京（立川）,https://laravel-live-jp.connpass.com/event/378150/,
TRUE,5月30日(土),5月30日(土),JJUG CCC 2026 Spring,東京（新宿）,https://sessionize.com/jjug-ccc-2026-spring/,
TRUE,5月30日(土),5月30日(土),関ヶ原Ruby会議01,岐阜（関ヶ原）,https://regional.rubykaigi.org/sekigahara01/,
TRUE,6月6日(土),6月6日(土),フロントエンド・PHPカンファレンス北海道2026,北海道（札幌）,https://note.com/_n13u_/n/na190f6ea36a5,
TRUE,6月6日(土),6月6日(土),松江Ruby会議12,島根（松江）,,
TRUE,6月6日(土),6月6日(土),オープンソースカンファレンス2026 Sendai,宮城（仙台）,,
TRUE,6月10日(水),6月12日(金), Interop Tokyo 2026,千葉（幕張）,https://www.interop.jp/,
TRUE,6月19日(金),6月20日(土),スクラムフェス金沢2026,石川（金沢）,https://www.scrumfestkanazawa.org/,
TRUE,6月27日(土),6月28日(日),きのこカンファレンス2026,東京（青海）,https://kinoko-conf.dev/,
TRUE,6月27日(土),6月27日(土),東京Ruby会議13,東京（高円寺）,https://regional.rubykaigi.org/tokyo13/,
TRUE,6月27日(土),6月27日(土),オープンソースカンファレンス2026 Hokkaido,北海道（札幌）,,
